"Оманский риал","Rial Omani",512,OMR,
"Фунт острова Святой Елены","Saint Helena Pound",654,SHP,
"Пакистанская рупия","Pakistan Rupee",586,PKR,
Бальбоа,Balboa,590,PAB,
Кина,Kina,598,PGK,
Гуарани,Guarani,600,PYG,
"Новый соль",Sol,604,PEN,
Злотый,Zloty,985,PLN,
"Франк Руанды","Rwanda Franc",646,RWF,
"Сальвадорский колон","El Salvador Colon",222,SVC,
Тала,Tala,882,WST,
Добра,Dobra,678,STD,
"Саудовский риял","Saudi Riyal",682,SAR,
Лилангени,Lilangeni,748,SZL,
"Сейшельская рупия","Seychelles Rupee",690,SCR,
"Сингапурский доллар","Singapore Dollar",702,SGD,
"Сирийский фунт","Syrian Pound",760,SYP,
"Фунт стерлингов","Pound Sterling",826,GBP,£
"Доллар Соломоновых островов","Solomon Islands Dollar",90,SBD,
"Сомалийский шиллинг","Somali Shilling",706,SOS,
Евро,Euro,978,EUR,€
Леоне,Leone,694,SLL,
Бат,Baht,764,THB,
"Новый Тайваньский доллар","New Taiwan Dollar",901,TWD,
"Танзанийский шиллинг","Tanzanian Shilling",834,TZS,
Паанга,Pa’anga,776,TOP,
"Доллар Тринидада и Тобаго","Trinidad and Tobago Dollar",780,TTD,
"Тунисский динар","Tunisian Dinar",788,TND,
"Угандийский шиллинг","Uganda Shilling",800,UGX,
"Узбекский сум","Uzbekistan Sum",860,UZS,
Гривна,Hryvnia,980,UAH,
"Уругвайское песо","Peso Uruguayo",858,UYU,
"Доллар Фиджи","Fiji Dollar",242,FJD,
"Филиппинское песо","Philippine Peso",608,PHP,
"Фунт Фолклендских островов","Falkland Islands Pound",238,FKP,
"Франк КФП","CFP Franc",953,XPF,
Куна,Kuna,191,HRK,
"Франк КФА ВЕАС","CFA Franc BEAC",950,XAF,
"Чешская крона","Czech Koruna",203,CZK,
"Чилийское песо","Chilean Peso",152,CLP,
"Шведская крона","Swedish Krona",752,SEK,
"Швейцарский франк","Swiss Franc",756,CHF,
"Шри–Ланкийская рупия","Sri Lanka Rupee",144,LKR,
"Эфиопский быр","Ethiopian Birr",230,ETB,
"Ямайский доллар","Jamaican Dollar",388,JMD,
Иена,Yen,392,JPY,¥
